id,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
1.0,6.0,1169.0,4.0,4.0,67.0,2.0,1.0,<0,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,good
2.0,48.0,5951.0,2.0,2.0,22.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,bad
3.0,12.0,2096.0,2.0,3.0,49.0,1.0,2.0,no checking,critical/other existing credit,education,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,good
4.0,42.0,7882.0,2.0,4.0,45.0,1.0,2.0,<0,existing paid,furniture/equipment,<100,4<=X<7,male single,guarantor,life insurance,none,for free,skilled,none,yes,good
5.0,24.0,4870.0,3.0,4.0,53.0,2.0,2.0,<0,delayed previously,new car,<100,1<=X<4,male single,none,no known property,none,for free,skilled,none,yes,bad
6.0,36.0,9055.0,2.0,4.0,35.0,1.0,2.0,no checking,existing paid,education,no known savings,1<=X<4,male single,none,no known property,none,for free,unskilled resident,yes,yes,good
7.0,24.0,2835.0,3.0,4.0,53.0,1.0,1.0,no checking,existing paid,furniture/equipment,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,none,yes,good
8.0,36.0,6948.0,2.0,2.0,35.0,1.0,1.0,0<=X<200,existing paid,used car,<100,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
9.0,12.0,3059.0,2.0,4.0,61.0,1.0,1.0,no checking,existing paid,radio/tv,>=1000,4<=X<7,male div/sep,none,real estate,none,own,unskilled resident,none,yes,good
10.0,30.0,5234.0,4.0,2.0,28.0,2.0,1.0,0<=X<200,critical/other existing credit,new car,<100,unemployed,male mar/wid,none,car,none,own,high qualif/self emp/mgmt,none,yes,bad
11.0,12.0,1295.0,3.0,1.0,25.0,1.0,1.0,0<=X<200,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,rent,skilled,none,yes,bad
12.0,48.0,4308.0,3.0,4.0,24.0,1.0,1.0,<0,existing paid,business,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,bad
13.0,12.0,1567.0,1.0,1.0,22.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,good
14.0,24.0,1199.0,4.0,4.0,60.0,2.0,1.0,<0,critical/other existing credit,new car,<100,>=7,male single,none,car,none,own,unskilled resident,none,yes,bad
15.0,15.0,1403.0,2.0,4.0,28.0,1.0,1.0,<0,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes,good
16.0,24.0,1282.0,4.0,2.0,32.0,1.0,1.0,<0,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,bad
17.0,24.0,2424.0,4.0,4.0,53.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,good
18.0,30.0,8072.0,2.0,3.0,25.0,3.0,1.0,<0,no credits/all paid,business,no known savings,<1,male single,none,car,bank,own,skilled,none,yes,good
19.0,24.0,12579.0,4.0,2.0,44.0,1.0,1.0,0<=X<200,existing paid,used car,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,bad
20.0,24.0,3430.0,3.0,2.0,31.0,1.0,2.0,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,yes,good
21.0,9.0,2134.0,4.0,4.0,48.0,3.0,1.0,no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,good
22.0,6.0,2647.0,2.0,3.0,44.0,1.0,2.0,<0,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,good
23.0,10.0,2241.0,1.0,3.0,48.0,2.0,2.0,<0,critical/other existing credit,new car,<100,<1,male single,none,real estate,none,rent,unskilled resident,none,no,good
24.0,12.0,1804.0,3.0,4.0,44.0,1.0,1.0,0<=X<200,critical/other existing credit,used car,100<=X<500,<1,male single,none,life insurance,none,own,skilled,none,yes,good
25.0,10.0,2069.0,2.0,1.0,26.0,2.0,1.0,no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,no,good
26.0,6.0,1374.0,1.0,2.0,36.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,bank,own,unskilled resident,yes,yes,good
27.0,6.0,426.0,4.0,4.0,39.0,1.0,1.0,no checking,no credits/all paid,radio/tv,<100,>=7,male mar/wid,none,car,none,own,unskilled resident,none,yes,good
28.0,12.0,409.0,3.0,3.0,42.0,2.0,1.0,>=200,all paid,radio/tv,>=1000,1<=X<4,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,good
29.0,7.0,2415.0,3.0,2.0,34.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes,good
30.0,60.0,6836.0,3.0,4.0,63.0,2.0,1.0,<0,delayed previously,business,<100,>=7,male single,none,no known property,none,own,skilled,yes,yes,bad
31.0,18.0,1913.0,3.0,3.0,36.0,1.0,1.0,0<=X<200,existing paid,business,>=1000,<1,male mar/wid,none,real estate,bank,own,skilled,yes,yes,good
32.0,24.0,4020.0,2.0,2.0,27.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,stores,own,skilled,none,yes,good
33.0,18.0,5866.0,2.0,2.0,30.0,2.0,1.0,0<=X<200,existing paid,new car,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,yes,yes,good
34.0,12.0,1264.0,4.0,4.0,57.0,1.0,1.0,no checking,critical/other existing credit,business,no known savings,>=7,male single,none,no known property,none,rent,unskilled resident,none,yes,good
35.0,12.0,1474.0,4.0,1.0,33.0,1.0,1.0,>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,bank,own,high qualif/self emp/mgmt,yes,yes,good
36.0,45.0,4746.0,4.0,2.0,25.0,2.0,1.0,0<=X<200,critical/other existing credit,radio/tv,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,bad
37.0,48.0,6110.0,1.0,3.0,31.0,1.0,1.0,no checking,critical/other existing credit,education,<100,1<=X<4,male single,none,no known property,bank,for free,skilled,yes,yes,good
38.0,18.0,2100.0,4.0,2.0,37.0,1.0,1.0,>=200,existing paid,radio/tv,<100,1<=X<4,male single,co applicant,real estate,stores,own,skilled,none,yes,bad
39.0,10.0,1225.0,2.0,2.0,37.0,1.0,1.0,>=200,existing paid,domestic appliance,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,good
40.0,9.0,458.0,4.0,3.0,24.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
41.0,30.0,2333.0,4.0,2.0,30.0,1.0,1.0,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,bank,own,high qualif/self emp/mgmt,none,yes,good
42.0,12.0,1158.0,3.0,1.0,26.0,1.0,1.0,0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male div/sep,none,car,none,own,skilled,yes,yes,good
43.0,18.0,6204.0,2.0,4.0,44.0,1.0,2.0,0<=X<200,delayed previously,repairs,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,good
44.0,30.0,6187.0,1.0,4.0,24.0,2.0,1.0,<0,critical/other existing credit,used car,100<=X<500,4<=X<7,male mar/wid,none,car,none,rent,skilled,none,yes,good
45.0,48.0,6143.0,4.0,4.0,58.0,2.0,1.0,<0,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,no known property,stores,for free,unskilled resident,none,yes,bad
46.0,11.0,1393.0,4.0,4.0,35.0,2.0,1.0,no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,good
